                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9789  23.9227  0.37122E+01  0.39235E+01  0.17353E-03  0.38938E+01  0.38177E+01  0.17398E-03  0.37856E+01
   10.5890   3.0087  24.1879  0.33740E+01  0.35410E+01  0.11575E-03  0.35166E+01  0.34396E+01  0.11601E-03  0.34131E+01
   10.5890   3.0443  24.5278  0.29775E+01  0.30982E+01  0.68295E-04  0.30791E+01  0.30032E+01  0.68418E-04  0.29824E+01
   10.5890   3.0800  24.9007  0.25878E+01  0.26689E+01  0.37925E-04  0.26542E+01  0.25813E+01  0.37976E-04  0.25653E+01
   10.5890   3.0960  25.3719  0.22107E+01  0.22623E+01  0.20752E-04  0.22509E+01  0.21838E+01  0.20773E-04  0.21714E+01
   10.5890   3.0996  25.9135  0.18609E+01  0.18904E+01  0.11154E-04  0.18816E+01  0.18215E+01  0.11163E-04  0.18120E+01
   10.5890   3.1091  26.3988  0.15752E+01  0.15888E+01  0.61268E-05  0.15820E+01  0.15281E+01  0.61302E-05  0.15207E+01
   10.5890   3.1420  26.7197  0.13590E+01  0.13607E+01  0.35200E-05  0.13553E+01  0.13062E+01  0.35205E-05  0.13003E+01
   10.5890   3.1807  26.9438  0.11947E+01  0.11881E+01  0.22308E-05  0.11836E+01  0.11383E+01  0.22302E-05  0.11335E+01
   10.5890   3.1990  27.2658  0.10372E+01  0.10255E+01  0.15103E-05  0.10218E+01  0.98102E+00  0.15094E-05  0.97709E+00
