 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.456818223       6.51387501       26.2147007       2.99040008       1.90888774       1.88749325    
  0.471647680       6.70170021       26.4766998       3.01710010       1.71049678       1.67822897    
  0.490591526       6.94215250       26.8153992       3.04830003       1.48104763       1.43925261    
  0.510211110       7.18904734       27.1518002       3.08039999       1.27289712       1.22526455    
  0.529703856       7.44919348       27.5816994       3.09500003       1.07726288       1.02815163    
  0.549596071       7.72347021       28.0706005       3.10030007      0.898937345      0.850961685    
  0.569230855       7.98807526       28.5077000       3.11089993      0.752680719      0.706696272    
  0.588628232       8.22769451       28.8020992       3.14039993      0.639099479      0.595067859    
  0.607374430       8.45028782       29.0345993       3.17499995      0.546344161      0.504515529    
  0.623674035       8.64955807       29.2719994       3.19849992      0.472776324      0.433592469    
