                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9778  23.9339  0.31653E+01  0.33490E+01  0.17268E-03  0.33267E+01  0.32549E+01  0.17312E-03  0.32309E+01
   10.5890   3.0075  24.1933  0.28664E+01  0.30115E+01  0.11587E-03  0.29932E+01  0.29220E+01  0.11613E-03  0.29023E+01
   10.5890   3.0431  24.5361  0.25102E+01  0.26146E+01  0.68176E-04  0.26002E+01  0.25318E+01  0.68296E-04  0.25163E+01
   10.5890   3.0788  24.9047  0.21683E+01  0.22385E+01  0.38031E-04  0.22274E+01  0.21629E+01  0.38081E-04  0.21510E+01
   10.5890   3.0955  25.3733  0.18387E+01  0.18832E+01  0.20784E-04  0.18747E+01  0.18161E+01  0.20805E-04  0.18069E+01
   10.5890   3.0985  25.9195  0.15344E+01  0.15600E+01  0.11158E-04  0.15534E+01  0.15017E+01  0.11167E-04  0.14946E+01
   10.5890   3.1087  26.3984  0.12906E+01  0.13027E+01  0.61455E-05  0.12976E+01  0.12518E+01  0.61488E-05  0.12463E+01
   10.5890   3.1426  26.7163  0.11051E+01  0.11070E+01  0.35197E-05  0.11030E+01  0.10617E+01  0.35202E-05  0.10574E+01
   10.5890   3.1808  26.9491  0.96265E+00  0.95757E+00  0.22182E-05  0.95434E+00  0.91671E+00  0.22176E-05  0.91322E+00
   10.5890   3.1996  27.2593  0.83307E+00  0.82384E+00  0.15142E-05  0.82118E+00  0.78749E+00  0.15133E-05  0.78463E+00
