 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5900   3.1000  16.8075   0.1996   2.8048  0.94850E+02  0.94846E+02  0.33726E-02  0.10784E+03  0.54817E-01  0.18603E+01  0.10593E+03  0.10009E+01
   10.5900   3.1000  17.5800   0.2182   3.0665  0.76911E+02  0.76908E+02  0.29334E-02  0.86193E+02  0.24210E-01  0.12947E+01  0.84874E+02  0.10011E+01
   10.5900   3.1000  19.1400   0.2582   3.6296  0.50054E+02  0.50052E+02  0.22393E-02  0.54658E+02  0.38487E-02  0.62558E+00  0.54029E+02  0.10014E+01
   10.5900   3.1000  20.5800   0.2981   4.1901  0.33373E+02  0.33371E+02  0.17742E-02  0.35665E+02  0.58409E-03  0.32080E+00  0.35344E+02  0.10017E+01
   10.5900   3.1000  21.9300   0.3380   4.7510  0.22617E+02  0.22616E+02  0.14523E-02  0.23712E+02  0.14140E-03  0.17195E+00  0.23540E+02  0.10021E+01
   10.5900   3.1000  23.2100   0.3781   5.3139  0.15478E+02  0.15477E+02  0.12237E-02  0.15938E+02  0.72882E-04  0.95462E-01  0.15843E+02  0.10024E+01
   10.5900   3.1000  25.5900   0.4582   6.4405  0.73193E+01  0.73183E+01  0.92536E-03  0.72913E+01  0.19085E-04  0.32331E-01  0.72590E+01  0.10034E+01
   10.5900   3.1000  27.7700   0.5380   7.5622  0.33933E+01  0.33926E+01  0.75551E-03  0.32820E+01  0.25813E-05  0.12288E-01  0.32697E+01  0.10046E+01
   10.5900   3.1000  29.8100   0.6181   8.6880  0.14933E+01  0.14926E+01  0.65862E-03  0.14067E+01  0.18356E-06  0.51641E-02  0.14015E+01  0.10061E+01
   10.5900   3.1000  31.7300   0.6982   9.8135  0.62193E+00  0.62133E+00  0.60618E-03  0.57168E+00  0.62916E-08  0.24554E-02  0.56922E+00  0.10077E+01
   10.5900   3.1000  33.5500   0.7782  10.9384  0.24436E+00  0.24378E+00  0.57803E-03  0.21914E+00  0.75153E-10  0.13589E-02  0.21778E+00  0.10097E+01
   10.5900   2.9000  36.1200   0.8181  11.8063  0.12421E+00  0.12378E+00  0.43647E-03  0.11052E+00  0.13981E-10  0.89702E-03  0.10962E+00  0.10121E+01
