 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.199552804       2.80480146       16.8075008       3.09999990       94.8496399       107.840614    
  0.218170479       3.06648088       17.5799999       3.09999990       76.9106293       86.1927643    
  0.258231670       3.62955856       19.1399994       3.09999990       50.0540543       54.6584930    
  0.298115522       4.19014311       20.5799999       3.09999990       33.3729820       35.6651306    
  0.338015705       4.75095797       21.9300003       3.09999990       22.6173153       23.7121887    
  0.378069222       5.31392717       23.2099991       3.09999990       15.4779940       15.9382963    
  0.458223403       6.44052887       25.5900002       3.09999990       7.31926298       7.29130554    
  0.538023770       7.56215763       27.7700005       3.09999990       3.39333844       3.28198457    
  0.618120492       8.68795204       29.8099995       3.09999990       1.49326062       1.40669191    
  0.698201001       9.81351852       31.7299995       3.09999990      0.621934772      0.571678162    
  0.778230608       10.9383698       33.5499992       3.09999990      0.244356036      0.219140157    
  0.818133950       11.8062830       36.1199989       2.90000010      0.124214485      0.110515006    
