 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675341189       9.63174534       32.0228004       2.98889995      0.113594070      0.102098331    
  0.691246152       9.83445549       32.2641983       3.00749993       9.53282565E-02   8.50856379E-02
  0.710508168       10.0775661       32.5428009       3.03069997       7.66735151E-02   6.78817108E-02
  0.730199754       10.3250732       32.8223000       3.05390000       6.09085709E-02   5.34857810E-02
  0.749961376       10.5729799       33.1006012       3.07629991       4.79697175E-02   4.17810343E-02
  0.769737303       10.8282356       33.4183998       3.09260011       3.73407342E-02   3.22478227E-02
  0.789493263       11.0919294       33.7809982       3.10220003       2.86736861E-02   2.45406739E-02
  0.809240997       11.3538847       34.1319008       3.11240005       2.15777382E-02   1.83240399E-02
  0.828917623       11.5961981       34.3820992       3.13409996       1.58955511E-02   1.35023231E-02
  0.848284423       11.8244696       34.5773010       3.16090012       1.21882018E-02   1.03471819E-02
