                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9918  26.2067  0.15318E+01  0.15628E+01  0.16081E-04  0.15552E+01  0.15056E+01  0.16103E-04  0.14974E+01
   10.5890   3.0178  26.4679  0.13603E+01  0.13790E+01  0.10246E-04  0.13727E+01  0.13264E+01  0.10257E-04  0.13196E+01
   10.5890   3.0503  26.8025  0.11615E+01  0.11680E+01  0.57600E-05  0.11631E+01  0.11212E+01  0.57644E-05  0.11159E+01
   10.5890   3.0806  27.1511  0.98161E+00  0.97873E+00  0.32833E-05  0.97487E+00  0.93761E+00  0.32846E-05  0.93346E+00
   10.5890   3.0954  27.5830  0.81659E+00  0.80875E+00  0.19727E-05  0.80572E+00  0.77340E+00  0.19728E-05  0.77014E+00
   10.5890   3.1013  28.0611  0.67183E+00  0.66083E+00  0.12762E-05  0.65845E+00  0.63090E+00  0.12759E-05  0.62833E+00
   10.5890   3.1105  28.5109  0.55141E+00  0.53866E+00  0.89418E-06  0.53677E+00  0.51340E+00  0.89377E-06  0.51137E+00
   10.5890   3.1432  28.7836  0.46164E+00  0.44768E+00  0.67787E-06  0.44616E+00  0.42589E+00  0.67735E-06  0.42425E+00
   10.5890   3.1752  29.0310  0.38768E+00  0.37337E+00  0.54111E-06  0.37213E+00  0.35457E+00  0.54050E-06  0.35322E+00
   10.5890   3.2030  29.2480  0.33031E+00  0.31622E+00  0.45125E-06  0.31516E+00  0.29982E+00  0.45062E-06  0.29868E+00
