 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9849  30.1102   0.5978   8.5300  0.44850E+00  0.44845E+00  0.53157E-04  0.41587E+00  0.57516E-06  0.19457E-02  0.41392E+00  0.10018E+01
   10.5890   3.0045  30.3286   0.6118   8.7081  0.39127E+00  0.39121E+00  0.59795E-04  0.36052E+00  0.49164E-06  0.16720E-02  0.35885E+00  0.10019E+01
   10.5890   3.0285  30.6325   0.6308   8.9502  0.32323E+00  0.32316E+00  0.68885E-04  0.29536E+00  0.39994E-06  0.13707E-02  0.29398E+00  0.10020E+01
   10.5890   3.0542  30.9244   0.6503   9.1948  0.26463E+00  0.26455E+00  0.78701E-04  0.23972E+00  0.32639E-06  0.11310E-02  0.23859E+00  0.10021E+01
   10.5890   3.0789  31.2190   0.6700   9.4422  0.21455E+00  0.21446E+00  0.89005E-04  0.19274E+00  0.26545E-06  0.94117E-03  0.19180E+00  0.10023E+01
   10.5890   3.0951  31.5669   0.6897   9.6992  0.17148E+00  0.17138E+00  0.98795E-04  0.15281E+00  0.21395E-06  0.78943E-03  0.15202E+00  0.10025E+01
   10.5890   3.1027  31.9707   0.7095   9.9668  0.13506E+00  0.13495E+00  0.10785E-03  0.11943E+00  0.17023E-06  0.66785E-03  0.11877E+00  0.10026E+01
   10.5890   3.1130  32.3501   0.7294  10.2323  0.10566E+00  0.10555E+00  0.11779E-03  0.92713E-01  0.13356E-06  0.57335E-03  0.92140E-01  0.10028E+01
   10.5890   3.1377  32.5998   0.7487  10.4689  0.83757E-01  0.83626E-01  0.13058E-03  0.72882E-01  0.10454E-06  0.50778E-03  0.72374E-01  0.10029E+01
   10.5890   3.1636  32.8336   0.7681  10.7031  0.66074E-01  0.65929E-01  0.14489E-03  0.56964E-01  0.80713E-07  0.45847E-03  0.56505E-01  0.10031E+01
   10.5890   3.1896  33.0476   0.7870  10.9283  0.52149E-01  0.51989E-01  0.16048E-03  0.44482E-01  0.62069E-07  0.42328E-03  0.44058E-01  0.10033E+01
   10.5890   3.2066  33.2863   0.8042  11.1413  0.41127E-01  0.40953E-01  0.17462E-03  0.34769E-01  0.48398E-07  0.39759E-03  0.34371E-01  0.10038E+01
