                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9885  32.0268  0.18620E+00  0.17691E+00  0.24445E-06  0.17612E+00  0.16751E+00  0.24421E-06  0.16666E+00
   10.5890   3.0079  32.2590  0.15637E+00  0.14778E+00  0.20565E-06  0.14709E+00  0.13973E+00  0.20540E-06  0.13899E+00
   10.5890   3.0303  32.5489  0.12510E+00  0.11746E+00  0.16454E-06  0.11687E+00  0.11087E+00  0.16428E-06  0.11024E+00
   10.5890   3.0535  32.8229  0.99481E-01  0.92804E-01  0.13011E-06  0.92291E-01  0.87454E-01  0.12988E-06  0.86906E-01
   10.5890   3.0769  33.0975  0.78115E-01  0.72383E-01  0.10086E-06  0.71931E-01  0.68090E-01  0.10065E-06  0.67609E-01
   10.5890   3.0944  33.4046  0.60886E-01  0.56015E-01  0.77190E-07  0.55610E-01  0.52594E-01  0.77008E-07  0.52165E-01
   10.5890   3.1022  33.7791  0.46785E-01  0.42692E-01  0.58226E-07  0.42324E-01  0.40000E-01  0.58075E-07  0.39614E-01
   10.5890   3.1095  34.1522  0.35150E-01  0.31840E-01  0.43477E-07  0.31500E-01  0.29777E-01  0.43355E-07  0.29423E-01
   10.5890   3.1336  34.3858  0.25823E-01  0.23350E-01  0.32409E-07  0.23024E-01  0.21830E-01  0.32309E-07  0.21493E-01
   10.5890   3.1591  34.5950  0.19885E-01  0.17897E-01  0.24179E-07  0.17577E-01  0.16709E-01  0.24096E-07  0.16382E-01
