 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675379515       9.63279819       32.0267982       2.98850012      0.186196953      0.167510539    
  0.691157818       9.83267879       32.2589989       3.00790000      0.156370297      0.139730662    
  0.710636020       10.0799122       32.5489006       3.03029990      0.125099257      0.110874087    
  0.730091393       10.3240891       32.8228989       3.05349994       9.94807258E-02   8.74535367E-02
  0.750031114       10.5731173       33.0974998       3.07690001       7.81152472E-02   6.80896044E-02
  0.769752026       10.8258429       33.4045982       3.09439993       6.08864762E-02   5.25939167E-02
  0.789407134       11.0907192       33.7790985       3.10220003       4.67848219E-02   4.00004499E-02
  0.809106469       11.3563995       34.1521988       3.10949993       3.51498537E-02   2.97770817E-02
  0.828902721       11.5967674       34.3857994       3.13360000       2.58232784E-02   2.18302924E-02
  0.848437369       11.8294668       34.5950012       3.15910006       1.98853631E-02   1.67091116E-02
