 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.2290  31.8000   0.7432  10.2649  0.74165E-01  0.74147E-01  0.18404E-04  0.65245E-01  0.21306E-06  0.30602E-03  0.64939E-01  0.10000E+01
   10.5890   3.2190  31.8000   0.7399  10.2331  0.76552E-01  0.76534E-01  0.17805E-04  0.67442E-01  0.22380E-06  0.31294E-03  0.67129E-01  0.10000E+01
   10.5890   3.2090  31.8000   0.7366  10.2013  0.78994E-01  0.78977E-01  0.17235E-04  0.69695E-01  0.23510E-06  0.32015E-03  0.69375E-01  0.10000E+01
   10.5890   3.1990  31.8000   0.7333  10.1695  0.81492E-01  0.81475E-01  0.16692E-04  0.72008E-01  0.24693E-06  0.32769E-03  0.71680E-01  0.10000E+01
   10.5890   3.1890  31.8000   0.7300  10.1377  0.84045E-01  0.84029E-01  0.16176E-04  0.74372E-01  0.25935E-06  0.33556E-03  0.74037E-01  0.10000E+01
   10.5890   3.1790  31.8000   0.7268  10.1060  0.86655E-01  0.86640E-01  0.15684E-04  0.76791E-01  0.27241E-06  0.34392E-03  0.76447E-01  0.10000E+01
   10.5890   3.1690  31.8000   0.7235  10.0742  0.89323E-01  0.89307E-01  0.15215E-04  0.79264E-01  0.28615E-06  0.35248E-03  0.78912E-01  0.10000E+01
   10.5890   3.1590  31.8000   0.7203  10.0424  0.92047E-01  0.92033E-01  0.14768E-04  0.81802E-01  0.30061E-06  0.36140E-03  0.81440E-01  0.10000E+01
   10.5890   3.1490  31.8000   0.7170  10.0106  0.94830E-01  0.94816E-01  0.14342E-04  0.84399E-01  0.31568E-06  0.37069E-03  0.84028E-01  0.10000E+01
   10.5890   3.1390  31.8000   0.7138   9.9788  0.97672E-01  0.97658E-01  0.13935E-04  0.87052E-01  0.33159E-06  0.38041E-03  0.86671E-01  0.10000E+01
   10.5890   3.1290  31.8000   0.7105   9.9470  0.10057E+00  0.10056E+00  0.13547E-04  0.89765E-01  0.34825E-06  0.39045E-03  0.89374E-01  0.10000E+01
   10.5890   3.1190  31.8000   0.7073   9.9152  0.10353E+00  0.10352E+00  0.13176E-04  0.92541E-01  0.36572E-06  0.40089E-03  0.92140E-01  0.10000E+01
   10.5890   3.1090  31.8000   0.7041   9.8834  0.10655E+00  0.10654E+00  0.12822E-04  0.95381E-01  0.38420E-06  0.41178E-03  0.94968E-01  0.10000E+01
   10.5890   3.0990  31.8000   0.7009   9.8516  0.10963E+00  0.10962E+00  0.12483E-04  0.98284E-01  0.40332E-06  0.42310E-03  0.97861E-01  0.10000E+01
   10.5890   3.0890  31.8000   0.6977   9.8198  0.11277E+00  0.11276E+00  0.12159E-04  0.10124E+00  0.42358E-06  0.43486E-03  0.10080E+00  0.10000E+01
   10.5890   3.0790  31.8000   0.6945   9.7881  0.11597E+00  0.11596E+00  0.11849E-04  0.10426E+00  0.44474E-06  0.44709E-03  0.10382E+00  0.10000E+01
   10.5890   3.0690  31.8000   0.6914   9.7563  0.11924E+00  0.11923E+00  0.11552E-04  0.10736E+00  0.46704E-06  0.45979E-03  0.10690E+00  0.10000E+01
   10.5890   3.0590  31.8000   0.6882   9.7245  0.12256E+00  0.12255E+00  0.11268E-04  0.11051E+00  0.49040E-06  0.47298E-03  0.11004E+00  0.10000E+01
   10.5890   3.0490  31.8000   0.6850   9.6927  0.12595E+00  0.12594E+00  0.10996E-04  0.11373E+00  0.51495E-06  0.48668E-03  0.11324E+00  0.10000E+01
   10.5890   3.0390  31.8000   0.6819   9.6609  0.12940E+00  0.12939E+00  0.10735E-04  0.11702E+00  0.54077E-06  0.50090E-03  0.11652E+00  0.10000E+01
   10.5890   3.0290  31.8000   0.6787   9.6291  0.13291E+00  0.13290E+00  0.10485E-04  0.12037E+00  0.56791E-06  0.51566E-03  0.11985E+00  0.10000E+01
   10.5890   3.0190  31.8000   0.6756   9.5973  0.13649E+00  0.13648E+00  0.10246E-04  0.12380E+00  0.59638E-06  0.53098E-03  0.12327E+00  0.10000E+01
   10.5890   3.0090  31.8000   0.6725   9.5655  0.14013E+00  0.14012E+00  0.10015E-04  0.12728E+00  0.62637E-06  0.54688E-03  0.12673E+00  0.10000E+01
   10.5890   2.9990  31.8000   0.6694   9.5337  0.14383E+00  0.14382E+00  0.97946E-05  0.13083E+00  0.65790E-06  0.56356E-03  0.13027E+00  0.10000E+01
