                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2290  31.8000  0.74165E-01  0.69268E-01  0.21422E-06  0.68989E-01  0.65245E-01  0.21306E-06  0.64939E-01
   10.5890   3.2190  31.8000  0.76552E-01  0.71577E-01  0.22499E-06  0.71291E-01  0.67442E-01  0.22380E-06  0.67129E-01
   10.5890   3.2090  31.8000  0.78994E-01  0.73943E-01  0.23632E-06  0.73650E-01  0.69695E-01  0.23510E-06  0.69375E-01
   10.5890   3.1990  31.8000  0.81492E-01  0.76371E-01  0.24820E-06  0.76071E-01  0.72008E-01  0.24693E-06  0.71680E-01
   10.5890   3.1890  31.8000  0.84045E-01  0.78852E-01  0.26064E-06  0.78546E-01  0.74372E-01  0.25935E-06  0.74037E-01
   10.5890   3.1790  31.8000  0.86655E-01  0.81389E-01  0.27374E-06  0.81075E-01  0.76791E-01  0.27241E-06  0.76447E-01
   10.5890   3.1690  31.8000  0.89323E-01  0.83983E-01  0.28752E-06  0.83661E-01  0.79264E-01  0.28615E-06  0.78912E-01
   10.5890   3.1590  31.8000  0.92047E-01  0.86643E-01  0.30201E-06  0.86312E-01  0.81802E-01  0.30061E-06  0.81440E-01
   10.5890   3.1490  31.8000  0.94830E-01  0.89363E-01  0.31711E-06  0.89024E-01  0.84399E-01  0.31568E-06  0.84028E-01
   10.5890   3.1390  31.8000  0.97672E-01  0.92142E-01  0.33306E-06  0.91794E-01  0.87052E-01  0.33159E-06  0.86671E-01
   10.5890   3.1290  31.8000  0.10057E+00  0.94982E-01  0.34976E-06  0.94625E-01  0.89765E-01  0.34825E-06  0.89374E-01
   10.5890   3.1190  31.8000  0.10353E+00  0.97888E-01  0.36726E-06  0.97521E-01  0.92541E-01  0.36572E-06  0.92140E-01
   10.5890   3.1090  31.8000  0.10655E+00  0.10086E+00  0.38578E-06  0.10048E+00  0.95381E-01  0.38420E-06  0.94968E-01
   10.5890   3.0990  31.8000  0.10963E+00  0.10389E+00  0.40494E-06  0.10351E+00  0.98284E-01  0.40332E-06  0.97861E-01
   10.5890   3.0890  31.8000  0.11277E+00  0.10698E+00  0.42522E-06  0.10658E+00  0.10124E+00  0.42358E-06  0.10080E+00
   10.5890   3.0790  31.8000  0.11597E+00  0.11014E+00  0.44642E-06  0.10973E+00  0.10426E+00  0.44474E-06  0.10382E+00
   10.5890   3.0690  31.8000  0.11924E+00  0.11338E+00  0.46875E-06  0.11295E+00  0.10736E+00  0.46704E-06  0.10690E+00
   10.5890   3.0590  31.8000  0.12256E+00  0.11667E+00  0.49214E-06  0.11623E+00  0.11051E+00  0.49040E-06  0.11004E+00
   10.5890   3.0490  31.8000  0.12595E+00  0.12003E+00  0.51672E-06  0.11958E+00  0.11373E+00  0.51495E-06  0.11324E+00
   10.5890   3.0390  31.8000  0.12940E+00  0.12345E+00  0.54257E-06  0.12299E+00  0.11702E+00  0.54077E-06  0.11652E+00
   10.5890   3.0290  31.8000  0.13291E+00  0.12694E+00  0.56974E-06  0.12647E+00  0.12037E+00  0.56791E-06  0.11985E+00
   10.5890   3.0190  31.8000  0.13649E+00  0.13052E+00  0.59824E-06  0.13003E+00  0.12380E+00  0.59638E-06  0.12327E+00
   10.5890   3.0090  31.8000  0.14013E+00  0.13414E+00  0.62825E-06  0.13364E+00  0.12728E+00  0.62637E-06  0.12673E+00
   10.5890   2.9990  31.8000  0.14383E+00  0.13784E+00  0.65980E-06  0.13732E+00  0.13083E+00  0.65790E-06  0.13027E+00
   10.5890   2.9890  31.8000  0.14760E+00  0.14161E+00  0.69276E-06  0.14108E+00  0.13445E+00  0.69084E-06  0.13387E+00
   10.5890   2.9790  31.8000  0.15143E+00  0.14550E+00  0.72646E-06  0.14495E+00  0.13819E+00  0.72374E-06  0.13759E+00
   10.5890   2.9690  31.8000  0.15533E+00  0.14937E+00  0.76230E-06  0.14881E+00  0.14192E+00  0.75956E-06  0.14130E+00
   10.5890   2.9590  31.8000  0.15929E+00  0.15335E+00  0.80058E-06  0.15277E+00  0.14575E+00  0.79781E-06  0.14511E+00
   10.5890   3.2290  31.9000  0.70137E-01  0.65424E-01  0.19919E-06  0.65156E-01  0.61604E-01  0.19810E-06  0.61310E-01
   10.5890   3.2190  31.9000  0.72430E-01  0.67641E-01  0.20933E-06  0.67366E-01  0.63713E-01  0.20820E-06  0.63412E-01
   10.5890   3.2090  31.9000  0.74777E-01  0.69911E-01  0.21992E-06  0.69630E-01  0.65873E-01  0.21876E-06  0.65566E-01
