                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2290  20.2000  0.32799E+01  0.36248E+01  0.71283E-01  0.35536E+01  0.35636E+01  0.78326E-01  0.34853E+01
   10.5890   3.2190  20.2000  0.32922E+01  0.36428E+01  0.72493E-01  0.35703E+01  0.35823E+01  0.79688E-01  0.35026E+01
   10.5890   3.2090  20.2000  0.33044E+01  0.36607E+01  0.73725E-01  0.35870E+01  0.36010E+01  0.81075E-01  0.35200E+01
   10.5890   3.1990  20.2000  0.33167E+01  0.36787E+01  0.74979E-01  0.36038E+01  0.36198E+01  0.82487E-01  0.35373E+01
   10.5890   3.1890  20.2000  0.33290E+01  0.36968E+01  0.76255E-01  0.36206E+01  0.36387E+01  0.83925E-01  0.35548E+01
   10.5890   3.1790  20.2000  0.33412E+01  0.37149E+01  0.77554E-01  0.36373E+01  0.36575E+01  0.85390E-01  0.35722E+01
   10.5890   3.1690  20.2000  0.33535E+01  0.37324E+01  0.78877E-01  0.36535E+01  0.36753E+01  0.86882E-01  0.35884E+01
   10.5890   3.1590  20.2000  0.33657E+01  0.37506E+01  0.80224E-01  0.36704E+01  0.36943E+01  0.88402E-01  0.36059E+01
   10.5890   3.1490  20.2000  0.33779E+01  0.37683E+01  0.81594E-01  0.36867E+01  0.37128E+01  0.89950E-01  0.36229E+01
   10.5890   3.1390  20.2000  0.33902E+01  0.37872E+01  0.82990E-01  0.37042E+01  0.37325E+01  0.91526E-01  0.36410E+01
   10.5890   3.1290  20.2000  0.34024E+01  0.38056E+01  0.84411E-01  0.37211E+01  0.37517E+01  0.93132E-01  0.36586E+01
   10.5890   3.1190  20.2000  0.34146E+01  0.38240E+01  0.85859E-01  0.37381E+01  0.37710E+01  0.94770E-01  0.36762E+01
   10.5890   3.1090  20.2000  0.34268E+01  0.38425E+01  0.87332E-01  0.37551E+01  0.37904E+01  0.96437E-01  0.36939E+01
   10.5890   3.0990  20.2000  0.34390E+01  0.38610E+01  0.88832E-01  0.37722E+01  0.38098E+01  0.98134E-01  0.37117E+01
   10.5890   3.0890  20.2000  0.34512E+01  0.38796E+01  0.90359E-01  0.37893E+01  0.38293E+01  0.99864E-01  0.37294E+01
   10.5890   3.0790  20.2000  0.34634E+01  0.38983E+01  0.91914E-01  0.38064E+01  0.38489E+01  0.10163E+00  0.37473E+01
   10.5890   3.0690  20.2000  0.34756E+01  0.39171E+01  0.93497E-01  0.38236E+01  0.38686E+01  0.10342E+00  0.37652E+01
   10.5890   3.0590  20.2000  0.34878E+01  0.39360E+01  0.95109E-01  0.38409E+01  0.38885E+01  0.10525E+00  0.37832E+01
   10.5890   3.0490  20.2000  0.35000E+01  0.39549E+01  0.96751E-01  0.38582E+01  0.39083E+01  0.10711E+00  0.38012E+01
   10.5890   3.0390  20.2000  0.35122E+01  0.39738E+01  0.98423E-01  0.38754E+01  0.39283E+01  0.10901E+00  0.38192E+01
   10.5890   3.0290  20.2000  0.35244E+01  0.39928E+01  0.10013E+00  0.38927E+01  0.39481E+01  0.11094E+00  0.38371E+01
   10.5890   3.0190  20.2000  0.35366E+01  0.40119E+01  0.10186E+00  0.39101E+01  0.39682E+01  0.11291E+00  0.38553E+01
   10.5890   3.0090  20.2000  0.35488E+01  0.40311E+01  0.10362E+00  0.39275E+01  0.39884E+01  0.11492E+00  0.38735E+01
   10.5890   2.9990  20.2000  0.35610E+01  0.40504E+01  0.10542E+00  0.39450E+01  0.40086E+01  0.11697E+00  0.38917E+01
   10.5890   2.9890  20.2000  0.35732E+01  0.40697E+01  0.10725E+00  0.39625E+01  0.40290E+01  0.11905E+00  0.39099E+01
   10.5890   2.9790  20.2000  0.35853E+01  0.40891E+01  0.10912E+00  0.39800E+01  0.40494E+01  0.12118E+00  0.39283E+01
   10.5890   2.9690  20.2000  0.35975E+01  0.41086E+01  0.11102E+00  0.39976E+01  0.40700E+01  0.12334E+00  0.39466E+01
   10.5890   2.9590  20.2000  0.36097E+01  0.41282E+01  0.11295E+00  0.40152E+01  0.40906E+01  0.12555E+00  0.39651E+01
