kin0
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.158,2.247,1.222,1.224,1.244,1.210,1.217
0.172,2.425,1.197,1.203,1.221,1.187,1.196
0.190,2.668,1.172,1.182,1.198,1.165,1.174
0.209,2.945,1.149,1.163,1.177,1.145,1.154
0.229,3.207,1.129,1.146,1.159,1.127,1.136
0.243,3.392,1.112,1.131,1.143,1.112,1.121
0.261,3.611,1.094,1.117,1.127,1.096,1.105
kin16
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.715,10.460,0.898,0.951,0.949,0.924,0.926
0.731,10.669,0.892,0.946,0.944,0.919,0.921
0.750,10.922,0.885,0.941,0.938,0.913,0.915
0.770,11.182,0.879,0.935,0.932,0.907,0.908
0.790,11.438,0.872,0.929,0.926,0.901,0.902
0.810,11.694,0.865,0.923,0.920,0.895,0.896
0.829,11.960,0.858,0.918,0.914,0.889,0.890
0.846,12.198,0.852,0.913,0.909,0.883,0.884
