x   Q2   Born_ineft   err   Born_f1f2   err  mark 
0.170549  2.41017  0.00312395  9.98283e-06  0.00316652  1.01189e-05  0
0.188015  2.64447  0.00458838  1.24813e-05  0.00464674  1.264e-05  1
0.20727  2.91389  0.00370872  1.11685e-05  0.00374969  1.12919e-05  0
0.226128  3.17528  0.00250832  9.09182e-06  0.00253321  9.18206e-06  0
0.188035  2.65636  0.00256241  1.34101e-05  0.00259583  1.3585e-05  0
0.206481  2.90354  0.00367214  1.65381e-05  0.00371298  1.67221e-05  1
0.226708  3.18613  0.00298033  1.48282e-05  0.00300987  1.49751e-05  0
0.246386  3.45775  0.00194103  1.1825e-05  0.00196037  1.19428e-05  0
0.223358  3.1583  0.00155823  7.91103e-06  0.00157413  7.99172e-06  0
0.243593  3.42568  0.00246613  1.03114e-05  0.00249069  1.04142e-05  1
0.265683  3.73419  0.00202121  9.28507e-06  0.00204288  9.38462e-06  0
0.287283  4.03137  0.00132135  7.40665e-06  0.00133454  7.48056e-06  0
0.258115  3.65485  0.000751162  4.24038e-06  0.00075913  4.28536e-06  0
0.276041  3.88567  0.00129965  5.76428e-06  0.00131344  5.82542e-06  1
0.294737  4.14304  0.00123013  5.62296e-06  0.00124145  5.67472e-06  0
0.313757  4.40852  0.00100126  5.04895e-06  0.00100699  5.07786e-06  0
0.332195  4.65848  0.000654087  4.03769e-06  0.000656165  4.05052e-06  0
0.294878  4.17856  0.000504085  3.61148e-06  0.000508715  3.64464e-06  0
0.314048  4.42411  0.000890638  4.96263e-06  0.000895711  4.99089e-06  1
0.33365  4.69197  0.000871845  4.93106e-06  0.000874475  4.94593e-06  0
0.353925  4.97438  0.000700323  4.39311e-06  0.000701462  4.40026e-06  0
0.373476  5.239  0.000453657  3.49568e-06  0.000454535  3.50244e-06  0
0.330766  4.68773  0.000339614  4.31561e-06  0.000340746  4.32999e-06  0
0.351184  4.94929  0.000605741  5.95738e-06  0.000606748  5.96729e-06  0
0.372293  5.23477  0.000609741  6.01195e-06  0.000610901  6.02338e-06  1
0.393813  5.53321  0.000494842  5.38375e-06  0.000495944  5.39574e-06  0
0.414655  5.81337  0.000310511  4.20945e-06  0.000310891  4.2146e-06  0
0.40241  5.7108  0.000130362  1.48364e-06  0.000130638  1.48677e-06  0
0.421552  5.95231  0.000230808  2.02492e-06  0.000230978  2.02641e-06  0
0.44099  6.20509  0.000271303  2.22315e-06  0.000271007  2.22073e-06  1
0.460594  6.47514  0.000236943  2.07261e-06  0.000236571  2.06936e-06  0
0.48047  6.74997  0.000183094  1.81048e-06  0.000182919  1.80875e-06  0
0.499783  7.00113  0.000112692  1.40683e-06  0.000112601  1.40569e-06  0
0.47433  6.73518  5.97034e-05  7.26229e-07  5.96379e-05  7.25432e-07  0
0.494827  6.99437  0.00010342  9.76281e-07  0.000103339  9.75516e-07  0
0.515786  7.26121  0.000128021  1.10093e-06  0.000127819  1.0992e-06  1
0.536795  7.547  0.000114862  1.04229e-06  0.000114552  1.03948e-06  0
0.558247  7.84211  8.9686e-05  9.16477e-07  8.94489e-05  9.14054e-07  0
0.578922  8.11136  5.62789e-05  7.20296e-07  5.6159e-05  7.18762e-07  0
0.544571  7.74165  1.91352e-05  3.08324e-07  1.9077e-05  3.07386e-07  0
0.561149  7.95111  3.12905e-05  3.98768e-07  3.12055e-05  3.97684e-07  0
0.57812  8.16544  3.93279e-05  4.50887e-07  3.92403e-05  4.49882e-07  0
0.594984  8.37828  4.4377e-05  4.82108e-07  4.42693e-05  4.80938e-07  1
0.611934  8.60479  4.17596e-05  4.68435e-07  4.16354e-05  4.67041e-07  0
0.628856  8.83719  3.44524e-05  4.24918e-07  3.43543e-05  4.23709e-07  0
0.645754  9.06569  2.59342e-05  3.67923e-07  2.58745e-05  3.67076e-07  0
0.662552  9.27615  1.63931e-05  2.91787e-07  1.63549e-05  2.91108e-07  0
0.617956  8.78641  9.54446e-06  1.56858e-07  9.51343e-06  1.56348e-07  0
0.637987  9.04117  1.65926e-05  2.08976e-07  1.6546e-05  2.08389e-07  0
0.658833  9.3016  2.08184e-05  2.35911e-07  2.07794e-05  2.35469e-07  0
0.679309  9.56149  2.16767e-05  2.41875e-07  2.16332e-05  2.4139e-07  1
0.699967  9.83873  1.8102e-05  2.2114e-07  1.80745e-05  2.20804e-07  0
0.720805  10.1238  1.3438e-05  1.90439e-07  1.3429e-05  1.90312e-07  0
0.74145  10.3829  8.18147e-06  1.48474e-07  8.18081e-06  1.48462e-07  0
0.692408  9.84904  4.55593e-06  6.92575e-08  4.54708e-06  6.91231e-08  0
0.715968  10.1468  7.73593e-06  9.09931e-08  7.72841e-06  9.09047e-08  0
0.740651  10.4562  9.20526e-06  9.98861e-08  9.20363e-06  9.98685e-08  1
0.764944  10.7655  8.60333e-06  9.69328e-08  8.61148e-06  9.70246e-08  0
0.789562  11.093  6.38831e-06  8.36954e-08  6.40096e-06  8.38611e-08  0
0.814119  11.4171  3.78191e-06  6.451e-08  3.79115e-06  6.46676e-08  0
